------------------在性能统计中检查CSC3300的335674320 模块CPU平均占用率大于60%------------------
获取数据失败
Connection to Sybase server has been lost. All active transactions have been rolled back
------------------在性能统计中查询1056974608 CPU平均占用率测量结果大于80%------------------
无
------------------在性能统计中查询1056974658 单板内存占用率测量结果大于85%------------------
开始时间	结束时间	单板内存平均占用率	网元名称	位置	位置名称	
------------------在性能统计中查询ATS接通率------------------
StartTime	EndTime	网元名	ATS O侧接通率	ATS T侧接通率	ATS AS 接通率	
------------------在性能统计中查询PSBC接通率------------------
StartTime	EndTime	网元名	PSBC接通率	
------------------在性能统计中查询PSBC注册成功率------------------
StartTime	EndTime	网元名	PSBC初始注册成功率	PSBC重注册成功率	
------------------在性能统计中查询CSCF接通率------------------
StartTime	EndTime	网元名	CSCF接通率	CSCF MO接通率	CSCF MT接通率	
2017/12/20 19:15:00	2017/12/20 19:30:00	HZISBG12BHW	88.882	85.613	91.584	
2017/12/20 19:30:00	2017/12/20 19:45:00	HZISBG09BHW	87.506	84.255	90.104	
2017/12/20 19:30:00	2017/12/20 19:45:00	HZISBG12BHW	88.786	85.459	91.614	
2017/12/20 19:45:00	2017/12/20 20:00:00	HZISBG09BHW	88.015	85.015	90.425	
2017/12/20 19:45:00	2017/12/20 20:00:00	HZISBG12BHW	89.043	85.793	91.802	
2017/12/20 20:00:00	2017/12/20 20:15:00	HZISBG09BHW	87.629	84.807	89.898	
2017/12/20 20:00:00	2017/12/20 20:15:00	HZISBG12BHW	88.209	84.969	90.971	
2017/12/20 20:15:00	2017/12/20 20:30:00	HZISBG09BHW	87.773	84.805	90.203	
2017/12/20 20:15:00	2017/12/20 20:30:00	HZISBG12BHW	88.519	85.279	91.278	
2017/12/20 20:30:00	2017/12/20 20:45:00	HZISBG09BHW	87.779	84.78	90.265	
2017/12/20 20:30:00	2017/12/20 20:45:00	HZISBG12BHW	88.917	85.86	91.567	
2017/12/20 20:45:00	2017/12/20 21:00:00	HZISBG09BHW	87.236	84.245	89.693	
2017/12/20 20:45:00	2017/12/20 21:00:00	HZISBG12BHW	88.899	85.848	91.546	
2017/12/20 21:00:00	2017/12/20 21:15:00	HZISBG09BHW	87.391	84.305	89.95	
2017/12/20 21:00:00	2017/12/20 21:15:00	HZISBG12BHW	88.569	85.412	91.322	
2017/12/20 21:15:00	2017/12/20 21:30:00	HZISBG09BHW	86.811	83.797	89.345	
2017/12/20 21:15:00	2017/12/20 21:30:00	HZISBG12BHW	88.076	84.806	90.948	
2017/12/20 21:30:00	2017/12/20 21:45:00	HZISBG09BHW	86.664	83.477	89.341	
2017/12/20 21:30:00	2017/12/20 21:45:00	HZISBG12BHW	87.748	83.989	91.091	
