------------------在性能统计中检查CSC3300的335674320 模块CPU平均占用率大于60%------------------
获取数据失败
Connection to Sybase server has been lost. All active transactions have been rolled back
------------------在性能统计中查询1056974608 CPU平均占用率测量结果大于80%------------------
无
------------------在性能统计中查询1056974658 单板内存占用率测量结果大于85%------------------
开始时间	结束时间	单板内存平均占用率	网元名称	位置	位置名称	
------------------在性能统计中查询ATS接通率------------------
StartTime	EndTime	网元名	ATS O侧接通率	ATS T侧接通率	ATS AS 接通率	
------------------在性能统计中查询PSBC接通率------------------
StartTime	EndTime	网元名	PSBC接通率	
2017/12/20 13:15:00	2017/12/20 13:30:00	HZPSBC14BHW	92.818	
2017/12/20 13:30:00	2017/12/20 13:45:00	HZPSBC13BHW	92.87	
2017/12/20 13:30:00	2017/12/20 13:45:00	HZPSBC14BHW	92.914	
2017/12/20 13:45:00	2017/12/20 14:00:00	HZPSBC13BHW	92.939	
2017/12/20 13:45:00	2017/12/20 14:00:00	HZPSBC14BHW	92.954	
2017/12/20 14:00:00	2017/12/20 14:15:00	HZPSBC13BHW	92.893	
2017/12/20 14:00:00	2017/12/20 14:15:00	HZPSBC14BHW	92.887	
2017/12/20 14:15:00	2017/12/20 14:30:00	HZPSBC13BHW	92.983	
2017/12/20 14:15:00	2017/12/20 14:30:00	HZPSBC14BHW	92.929	
2017/12/20 14:30:00	2017/12/20 14:45:00	HZPSBC13BHW	92.939	
2017/12/20 14:30:00	2017/12/20 14:45:00	HZPSBC14BHW	92.88	
2017/12/20 14:45:00	2017/12/20 15:00:00	HZPSBC13BHW	92.978	
2017/12/20 14:45:00	2017/12/20 15:00:00	HZPSBC14BHW	92.872	
2017/12/20 15:00:00	2017/12/20 15:15:00	HZPSBC13BHW	93.069	
2017/12/20 15:00:00	2017/12/20 15:15:00	HZPSBC14BHW	92.896	
2017/12/20 15:15:00	2017/12/20 15:30:00	HZPSBC13BHW	92.884	
2017/12/20 15:15:00	2017/12/20 15:30:00	HZPSBC14BHW	92.998	
2017/12/20 15:30:00	2017/12/20 15:45:00	HZPSBC13BHW	92.685	
